movieName;Metascore_w;Author;AuthorHref;Date;Summary;InteractionsYesCount;InteractionsTotalCount;InteractionsThumbUp;InteractionsThumbDown;rel_inc;abs_inc
batman-begins;10;AnsonG.;;Jul 11, 2006;[];0.0;0.0;;;inf;10
spider-man-2;10;AnsonG.;;Mar  5, 2007;"[ ""Lighten up people. Its not hard to love this movie unless you have absolutely no ability of knowing good entertainment when u see it. Tobey Maguire is great as Peter Parker, Kirsten Dunst Lovely as MJ, Alfred Molina an outstanding classic machined villain as Dr. Octavious turned Docock. Every member of the cast is superb in their big or small roles, Sam Raimi the director seems very sure of the script and his directing and makes every scene worth watching. Add to that a good story, fabulous, marvelous special effects and visual sequences, an outstanding, fully suitable score, sound effects beyond your wildest dreams , a red-blue spidey Spandex otfit, a chuuby guys in a brown coat with four mecha-arms...well how can you not like it??? So, either you are a fan of the comics, like superhero movies, or not, you really have to enjoy this movie. SO DONT MISS IT!"" ]";0.0;0.0;;;inf;10
spider-man;10;AnsonG.;;Jul 27, 2006;[];0.0;0.0;;;inf;10
the-lord-of-the-rings-the-fellowship-of-the-ring;10;AnsonG.;;Jun 23, 2006;[];1.0;1.0;;;inf;10
rush-hour-2;10;AnsonG.;;Sep  1, 2006;[];0.0;0.0;;;inf;10
rush-hour;10;AnsonG.;;Aug 15, 2006;[];2.0;3.0;;;inf;10
entrapment;10;AnsonG.;;Aug 19, 2006;[];0.0;0.0;;;inf;10
spider-man-3;3;AnsonG.;;May  5, 2007;"[ ""This movie lost all the fun and interest about it.That's how they're ending the Spider-Man series? The acting is poor. The writing is predictable and cheesy. The action, which the Spider-Man series has been so good at portraying, was jumpy and short-lived. I couldn't believe that the plot had to go in so many directions. It was a bit hard to follow at times and did not lend itself to character development. Although the same writers and directors were employed for this installment, it seemed like they were grasping at air. Take everything that you liked from the previous movies and make it completely over-done. They should have stuck to a single villain because there is not a lot of development of the Sandman character. It also suffers from the success and critical acclaim of the first two movies in that the movie tries to include every good thing but fails miserably in the amalgamation. The previews make it look great and totally appealing but you can really show an extremely lacking plot in a 30 second TV spot. Yes it will make a boatload of money but that can't overrule how utterly disappointing this first summer blockbuster is."" ]";0.0;0.0;;;inf;3
white-chicks;3;AnsonG.;;Jun 23, 2006;"[ ""I have no idea how many people will be able laugh this movie. Its really funny but the way they talk was so unbearable and a bit stupid. If u really want to laugh this movie be my guest but for me it was far worse then that. Believe me, this movie will spoil your mind and inappropriate for u."" ]";0.0;0.0;;;inf;3
swat;2;AnsonG.;;Jul 27, 2006;[];0.0;0.0;;;inf;2
doom;1;AnsonG.;;Jul 27, 2006;"[ ""What a bunchless movie. This movie way too long, ill conceived and boring. My special word is, awful. Whats the point the two company (id and Hollywood) wasted of their money to make such film like this? It suppose to be action 1st person shooter but where are their action? Nothing new. If u feel uncomfortable of this movie, i suggest u play Doom 3 on pc game. Dont watch this film, its not worth for your money."" ]";0.0;0.0;;;inf;1
